INFO  2023-12-20 14:39:16,690  Category    : 
INFO  2023-12-20 14:39:16,690  Subcategory : 
INFO  2023-12-20 14:39:16,690  The url https://www.hdfcfund.com/product-solutions/equity-linked-savings-scheme-elss completed
INFO  2023-12-20 14:39:16,690  
INFO  2023-12-20 14:39:16,721  The url : https://www.hdfcfund.com/insights/talking-points/bharat-amrit-kaal-key-highlights-our-diwali-call started....
INFO  2023-12-20 14:39:17,712  Browser listening on: ws://127.0.0.1:57685/devtools/browser/a39b51ce-1f10-43c3-aeef-213222d0c178
INFO  2023-12-20 14:39:20,492  Title       : 
INFO  2023-12-20 14:39:20,492  Description : 
INFO  2023-12-20 14:39:20,492  Category    : 
INFO  2023-12-20 14:39:20,492  Subcategory : 
INFO  2023-12-20 14:39:20,507  The url https://www.hdfcfund.com/insights/talking-points/bharat-amrit-kaal-key-highlights-our-diwali-call completed
INFO  2023-12-20 14:39:20,507  
INFO  2023-12-20 14:39:20,523  The url : https://www.hdfcfund.com/learners-corner/swap-calculator started....
INFO  2023-12-20 14:39:21,533  Browser listening on: ws://127.0.0.1:57726/devtools/browser/9c52ae5d-71cf-4182-92f1-65dc248ae83c
INFO  2023-12-20 14:39:24,455  Title       : SWAP Calculator
INFO  2023-12-20 14:39:24,455  Description : 
INFO  2023-12-20 14:39:24,455  Category    : 
INFO  2023-12-20 14:39:24,455  Subcategory : 
INFO  2023-12-20 14:39:24,471  The url https://www.hdfcfund.com/learners-corner/swap-calculator completed
INFO  2023-12-20 14:39:24,471  
INFO  2023-12-20 14:39:24,487  The url : https://www.hdfcfund.com/statutory-disclosure/annual-reports started....
INFO  2023-12-20 14:39:25,528  Browser listening on: ws://127.0.0.1:57770/devtools/browser/6038dbc9-559e-4626-8133-67bf9f00553e
INFO  2023-12-20 14:39:29,834  Title       : HDFC MF Statutory Disclosure - Annual Reports on HDFC Mutual Fund Schemes - HDFC Mutual Fund
INFO  2023-12-20 14:39:29,834  Description : Get annual reports of the different types of HDFC Mutual Fund, HDFC fixed maturity plan (HDFC FMP) and others.

INFO  2023-12-20 14:39:29,834  Category    : 
INFO  2023-12-20 14:39:29,834  Subcategory : 
INFO  2023-12-20 14:39:29,850  The url https://www.hdfcfund.com/statutory-disclosure/annual-reports completed
INFO  2023-12-20 14:39:29,850  
INFO  2023-12-20 14:39:29,866  The url : https://www.hdfcfund.com/learners-corner/impact-of-inflation started....
